# compiler: R8
# compiler_version: 1.4.94
# min_api: 1
com.google.android.exoplayer2.BasePlayer -> com.google.android.exoplayer2.BasePlayer:
    14:23:void <init>(com.google.android.exoplayer2.upstream.DefaultAllocator,int,int,int,int,int,int,boolean,int,boolean):330:339 -> <init>
    1:1:void access$000(int,int,java.lang.String,java.lang.String):28:28 -> access$000
    1:1:void assertGreaterOrEqual(int,int,java.lang.String,java.lang.String):471:471 -> assertGreaterOrEqual
    1:3:int calculateTargetBufferSize(com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelectionArray):424:426 -> calculateTargetBufferSize
    1:1:com.google.android.exoplayer2.upstream.Allocator getAllocator():370:370 -> getAllocator
    1:1:long getBackBufferDurationUs():375:375 -> getBackBufferDurationUs
    1:1:int getDefaultBufferSize(int):457:457 -> getDefaultBufferSize
    1:2:boolean hasVideo(com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelectionArray):462:463 -> hasVideo
    1:1:void onPrepared():344:344 -> onPrepared
    1:1:void onReleased():365:365 -> onReleased
    1:1:void onStopped():360:360 -> onStopped
    1:2:void onTracksSelected(com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.source.TrackGroupArray,com.google.android.exoplayer2.trackselection.TrackSelectionArray):350:351 -> onTracksSelected
    3:3:void onTracksSelected(com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.source.TrackGroupArray,com.google.android.exoplayer2.trackselection.TrackSelectionArray):353:353 -> onTracksSelected
    4:4:void onTracksSelected(com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.source.TrackGroupArray,com.google.android.exoplayer2.trackselection.TrackSelectionArray):355:355 -> onTracksSelected
    1:2:void reset(boolean):433:434 -> reset
    3:3:void reset(boolean):436:436 -> reset
    1:1:boolean retainBackBufferFromKeyframe():380:380 -> retainBackBufferFromKeyframe
    1:2:boolean shouldContinueLoading(long,float):385:386 -> shouldContinueLoading
    3:4:boolean shouldContinueLoading(long,float):391:392 -> shouldContinueLoading
    5:7:boolean shouldContinueLoading(long,float):395:397 -> shouldContinueLoading
    8:8:boolean shouldContinueLoading(long,float):399:399 -> shouldContinueLoading
    1:3:boolean shouldStartPlayback(long,float,boolean):405:407 -> shouldStartPlayback
    4:4:boolean shouldStartPlayback(long,float,boolean):410:410 -> shouldStartPlayback
com.google.android.exoplayer2.DefaultLoadControl$Builder -> com.google.android.exoplayer2.DefaultLoadControl$Builder:
    1:10:void <init>():105:114 -> <init>
    1:4:com.google.android.exoplayer2.DefaultLoadControl createDefaultLoadControl():218:221 -> createDefaultLoadControl
    5:5:com.google.android.exoplayer2.DefaultLoadControl createDefaultLoadControl():223:223 -> createDefaultLoadControl
    1:2:com.google.android.exoplayer2.DefaultLoadControl$Builder setAllocator(com.google.android.exoplayer2.upstream.DefaultAllocator):125:126 -> setAllocator
    1:4:com.google.android.exoplayer2.DefaultLoadControl$Builder setBackBuffer(int,boolean):209:212 -> setBackBuffer
    1:3:com.google.android.exoplayer2.DefaultLoadControl$Builder setBufferDurationsMs(int,int,int,int):150:152 -> setBufferDurationsMs
    4:5:com.google.android.exoplayer2.DefaultLoadControl$Builder setBufferDurationsMs(int,int,int,int):154:155 -> setBufferDurationsMs
    6:11:com.google.android.exoplayer2.DefaultLoadControl$Builder setBufferDurationsMs(int,int,int,int):160:165 -> setBufferDurationsMs
    1:2:com.google.android.exoplayer2.DefaultLoadControl$Builder setPrioritizeTimeOverSizeThresholds(boolean):193:194 -> setPrioritizeTimeOverSizeThresholds
    1:2:com.google.android.exoplayer2.DefaultLoadControl$Builder setTargetBufferBytes(int):178:179 -> setTargetBufferBytes
com.google.android.exoplayer2.DefaultMediaClock -> com.google.android.exoplayer2.DefaultMediaClock:
    1:3:void <init>(com.google.android.exoplayer2.DefaultMediaClock$PlaybackParameterListener,com.google.android.exoplayer2.util.Clock):57:59 -> <init>
    1:6:void ensureSynced():160:165 -> ensureSynced
    1:2:com.google.android.exoplayer2.PlaybackParameters getPlaybackParameters():155:156 -> getPlaybackParameters
    1:2:long getPositionUs():136:137 -> getPositionUs
    3:3:long getPositionUs():139:139 -> getPositionUs
    1:2:boolean isUsingRendererClock():174:175 -> isUsingRendererClock
    1:3:void onRendererDisabled(com.google.android.exoplayer2.Renderer):114:116 -> onRendererDisabled
    1:2:void onRendererEnabled(com.google.android.exoplayer2.Renderer):94:95 -> onRendererEnabled
    3:6:void onRendererEnabled(com.google.android.exoplayer2.Renderer):100:103 -> onRendererEnabled
    7:7:void onRendererEnabled(com.google.android.exoplayer2.Renderer):97:97 -> onRendererEnabled
    1:1:void resetPosition(long):82:82 -> resetPosition
    1:2:com.google.android.exoplayer2.PlaybackParameters setPlaybackParameters(com.google.android.exoplayer2.PlaybackParameters):145:146 -> setPlaybackParameters
    3:4:com.google.android.exoplayer2.PlaybackParameters setPlaybackParameters(com.google.android.exoplayer2.PlaybackParameters):148:149 -> setPlaybackParameters
    1:1:void start():66:66 -> start
    1:1:void stop():73:73 -> stop
    1:3:long syncAndGetPositionUs():124:126 -> syncAndGetPositionUs
    4:4:long syncAndGetPositionUs():128:128 -> syncAndGetPositionUs
com.google.android.exoplayer2.DefaultRenderersFactory -> com.google.android.exoplayer2.DefaultRenderersFactory:
    1:5:void <init>(android.content.Context):98:102 -> <init>
    6:6:void <init>(android.content.Context,com.google.android.exoplayer2.drm.DrmSessionManager):113:113 -> <init>
    7:7:void <init>(android.content.Context,int):124:124 -> <init>
    8:8:void <init>(android.content.Context,com.google.android.exoplayer2.drm.DrmSessionManager,int):138:138 -> <init>
    9:9:void <init>(android.content.Context,int,long):151:151 -> <init>
    10:15:void <init>(android.content.Context,com.google.android.exoplayer2.drm.DrmSessionManager,int,long):164:169 -> <init>
    1:1:com.google.android.exoplayer2.audio.AudioProcessor[] buildAudioProcessors():550:550 -> buildAudioProcessors
    1:1:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):401:401 -> buildAudioRenderers
    2:2:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):410:410 -> buildAudioRenderers
    3:3:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):401:401 -> buildAudioRenderers
    4:4:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):415:415 -> buildAudioRenderers
    5:7:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):423:425 -> buildAudioRenderers
    8:11:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):430:433 -> buildAudioRenderers
    12:12:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):438:438 -> buildAudioRenderers
    13:15:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):444:446 -> buildAudioRenderers
    16:19:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):451:454 -> buildAudioRenderers
    20:20:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):459:459 -> buildAudioRenderers
    21:23:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):466:468 -> buildAudioRenderers
    24:27:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):473:476 -> buildAudioRenderers
    28:28:void buildAudioRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,com.google.android.exoplayer2.audio.AudioProcessor[],android.os.Handler,com.google.android.exoplayer2.audio.AudioRendererEventListener,java.util.ArrayList):481:481 -> buildAudioRenderers
    1:1:void buildCameraMotionRenderers(android.content.Context,int,java.util.ArrayList):530:530 -> buildCameraMotionRenderers
    1:1:void buildMetadataRenderers(android.content.Context,com.google.android.exoplayer2.metadata.MetadataOutput,android.os.Looper,int,java.util.ArrayList):518:518 -> buildMetadataRenderers
    1:1:void buildTextRenderers(android.content.Context,com.google.android.exoplayer2.text.TextOutput,android.os.Looper,int,java.util.ArrayList):500:500 -> buildTextRenderers
    1:1:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):322:322 -> buildVideoRenderers
    2:2:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):337:337 -> buildVideoRenderers
    3:5:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):345:347 -> buildVideoRenderers
    6:6:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):353:353 -> buildVideoRenderers
    7:7:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):356:356 -> buildVideoRenderers
    8:8:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):359:359 -> buildVideoRenderers
    9:9:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):355:355 -> buildVideoRenderers
    10:11:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):360:361 -> buildVideoRenderers
    12:12:void buildVideoRenderers(android.content.Context,int,com.google.android.exoplayer2.mediacodec.MediaCodecSelector,com.google.android.exoplayer2.drm.DrmSessionManager,boolean,boolean,android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,long,java.util.ArrayList):366:366 -> buildVideoRenderers
    1:1:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):257:257 -> createRenderers
    2:3:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):259:260 -> createRenderers
    4:4:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):271:271 -> createRenderers
    5:5:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):278:278 -> createRenderers
    6:6:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):271:271 -> createRenderers
    7:7:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):282:282 -> createRenderers
    8:8:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):284:284 -> createRenderers
    9:11:com.google.android.exoplayer2.Renderer[] createRenderers(android.os.Handler,com.google.android.exoplayer2.video.VideoRendererEventListener,com.google.android.exoplayer2.audio.AudioRendererEventListener,com.google.android.exoplayer2.text.TextOutput,com.google.android.exoplayer2.metadata.MetadataOutput,com.google.android.exoplayer2.drm.DrmSessionManager):286:288 -> createRenderers
    1:1:com.google.android.exoplayer2.DefaultRenderersFactory setAllowedVideoJoiningTimeMs(long):244:244 -> setAllowedVideoJoiningTimeMs
    1:1:com.google.android.exoplayer2.DefaultRenderersFactory setEnableDecoderFallback(boolean):216:216 -> setEnableDecoderFallback
    1:1:com.google.android.exoplayer2.DefaultRenderersFactory setExtensionRendererMode(int):184:184 -> setExtensionRendererMode
    1:1:com.google.android.exoplayer2.DefaultRenderersFactory setMediaCodecSelector(com.google.android.exoplayer2.mediacodec.MediaCodecSelector):229:229 -> setMediaCodecSelector
    1:1:com.google.android.exoplayer2.DefaultRenderersFactory setPlayClearSamplesWithoutKeys(boolean):203:203 -> setPlayClearSamplesWithoutKeys
com.google.android.exoplayer2.ExoPlaybackException -> com.google.android.exoplayer2.ExoPlaybackException:
    1:4:void <init>(int,java.lang.Throwable,int):130:133 -> <init>
    5:8:void <init>(int,java.lang.String):137:140 -> <init>
    1:1:com.google.android.exoplayer2.ExoPlaybackException createForOutOfMemoryError(java.lang.OutOfMemoryError):126:126 -> createForOutOfMemoryError
    1:1:com.google.android.exoplayer2.ExoPlaybackException createForRemote(java.lang.String):116:116 -> createForRemote
    1:1:com.google.android.exoplayer2.ExoPlaybackException createForRenderer(java.lang.Exception,int):96:96 -> createForRenderer
    1:1:com.google.android.exoplayer2.ExoPlaybackException createForSource(java.io.IOException):85:85 -> createForSource
    1:1:com.google.android.exoplayer2.ExoPlaybackException createForUnexpected(java.lang.RuntimeException):106:106 -> createForUnexpected
    1:2:java.lang.OutOfMemoryError getOutOfMemoryError():179:180 -> getOutOfMemoryError
    1:2:java.lang.Exception getRendererException():159:160 -> getRendererException
    1:2:java.io.IOException getSourceException():149:150 -> getSourceException
    1:2:java.lang.RuntimeException getUnexpectedException():169:170 -> getUnexpectedException
com.google.android.exoplayer2.ExoPlayer$ExoPlayerMessage -> com.google.android.exoplayer2.ExoPlayer$ExoPlayerMessage:
    1:4:void <init>(com.google.android.exoplayer2.PlayerMessage$Target,int,java.lang.Object):137:140 -> <init>
com.google.android.exoplayer2.ExoPlayerFactory -> com.google.android.exoplayer2.ExoPlayerFactory:
    1:1:void <init>():38:38 -> <init>
    1:2:com.google.android.exoplayer2.upstream.BandwidthMeter getDefaultBandwidthMeter(android.content.Context):445:446 -> getDefaultBandwidthMeter
    3:3:com.google.android.exoplayer2.upstream.BandwidthMeter getDefaultBandwidthMeter(android.content.Context):448:448 -> getDefaultBandwidthMeter
    1:1:com.google.android.exoplayer2.ExoPlayer newInstance(android.content.Context,com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelector):385:385 -> newInstance
    2:2:com.google.android.exoplayer2.ExoPlayer newInstance(android.content.Context,com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl):398:398 -> newInstance
    3:3:com.google.android.exoplayer2.ExoPlayer newInstance(android.content.Context,com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl,android.os.Looper):418:418 -> newInstance
    4:4:com.google.android.exoplayer2.ExoPlayer newInstance(android.content.Context,com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl,android.os.Looper):417:417 -> newInstance
    5:5:com.google.android.exoplayer2.ExoPlayer newInstance(android.content.Context,com.google.android.exoplayer2.Renderer[],com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl,com.google.android.exoplayer2.upstream.BandwidthMeter,android.os.Looper):440:440 -> newInstance
    1:3:com.google.android.exoplayer2.SimpleExoPlayer newSimpleInstance(android.content.Context,com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl,com.google.android.exoplayer2.drm.DrmSessionManager,int):61:63 -> newSimpleInstance
    4:4:com.google.android.exoplayer2.SimpleExoPlayer newSimpleInstance(android.content.Context,com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl,com.google.android.exoplayer2.drm.DrmSessionManager,int,long):91:91 -> newSimpleInstance
    5:7:com.google.android.exoplayer2.SimpleExoPlayer newSimpleInstance(android.content.Context,com.google.android.exoplayer2.trackselection.TrackSelector,com.google.android.exoplayer2.LoadControl,com.google.android.exoplayer2.drm.DrmSessionManager,int,long):93:95 -> newSimpleInstance
    8:8:com.google.android.exoplayer2.SimpleExoPlayer newSimpleInstance(android.content.Context):105:105 -> newSimpleInstance
    9:9:com.google.android.exoplayer2.SimpleExoPlayer newSimpleInstance(android.content.Context,com.google.android.exoplayer2.trackselection.TrackSelector):115:115 -> newSimpleInstance
